0:0:0:0:0:0:0:1 - - [31/Aug/2022:16:53:36 +0900] "GET /test/resources/MaxiBiz/lib/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2022:16:53:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Aug/2022:16:53:38 +0900] "GET /test/location.href='/test/main?cafeId=cafeId1%27 HTTP/1.1" 404 14710
0:0:0:0:0:0:0:1 - - [31/Aug/2022:16:53:38 +0900] "GET /test/location.href='/test/img/pixel.gif HTTP/1.1" 404 14710
0:0:0:0:0:0:0:1 - - [31/Aug/2022:16:53:38 +0900] "GET /test/resources/MaxiBiz/img/search.png HTTP/1.1" 200 3143
0:0:0:0:0:0:0:1 - - [31/Aug/2022:16:53:38 +0900] "GET /test/resources/MaxiBiz/img/404.png HTTP/1.1" 200 13670
0:0:0:0:0:0:0:1 - - [31/Aug/2022:17:20:06 +0900] "GET /test/main?cafeId=cafeId1 HTTP/1.1" 200 22668
0:0:0:0:0:0:0:1 - - [31/Aug/2022:17:20:06 +0900] "GET /test/resources/MaxiBiz/css/colors/asphalt.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2022:17:20:06 +0900] "GET /test/resources/img/grade_manager.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2022:17:20:06 +0900] "GET /test/resources/img/cafe_thumb_noimg_55.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2022:17:20:06 +0900] "GET /test/resources/upload/1794220617_XSpkAiBo_pexels-eberhard-grossgasteiger-1287142.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2022:17:20:06 +0900] "GET /test/resources/img/profileImage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2022:17:20:06 +0900] "GET /test/resources/img/sp_icon_06952b76.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2022:17:20:06 +0900] "GET /test/resources/img/sp_icon_white_72ca546e.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2022:17:20:06 +0900] "GET /test/resources/MaxiBiz/img/demo_01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2022:17:20:26 +0900] "GET /test/main?cafeId=cafeId1 HTTP/1.1" 200 22668
0:0:0:0:0:0:0:1 - - [31/Aug/2022:17:20:45 +0900] "GET /test/main?cafeId=cafeId1 HTTP/1.1" 200 22668
0:0:0:0:0:0:0:1 - - [31/Aug/2022:17:20:49 +0900] "GET /test HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Aug/2022:17:20:49 +0900] "GET /test/ HTTP/1.1" 200 23583
0:0:0:0:0:0:0:1 - - [31/Aug/2022:17:20:51 +0900] "GET /test/main?cafeId=cafeId3 HTTP/1.1" 200 22664
